algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
knn,52960,13239,1.5684,4.166,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.14,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.3565,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,1.537,4.324,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.135,0.8247,0.8858,0.8925,0.8846,0.8861,0.8846
knn,52960,13239,0.0,0.7972,0.8858,0.8925,0.8846,0.8861,0.8846
knn,52960,13239,0.0,0.8227,0.8858,0.8925,0.8846,0.8861,0.8846
knn,52960,13239,1.5365,4.5872,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.1967,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.2235,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.1607,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.1714,0.9591,0.9603,0.9586,0.9591,0.9586
knn,52960,13239,0.0,4.2474,0.9591,0.9603,0.9586,0.9591,0.9586
