algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
logistic regression,52960,13239,11.1698,0.0761,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0683,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,11.3986,0.0729,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0658,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0655,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0652,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0812,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,0.0,0.0658,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,11.4036,0.0726,0.8957,0.8949,0.8947,0.8947,0.8947
logistic regression,52960,13239,13.6813,0.1001,0.8957,0.8949,0.8947,0.8947,0.8947
