algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
random forest,52960,13239,12.3277,0.3601,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,1.5036,0.2204,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.198,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1889,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1894,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1895,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1874,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1961,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1868,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,0.0,0.1977,0.893,0.8931,0.8926,0.8924,0.8926
random forest,52960,13239,12.3626,0.3668,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,0.0,0.3586,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,0.0,0.3577,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,0.0,0.3572,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,0.0,0.5179,0.9511,0.951,0.951,0.9509,0.951
random forest,52960,13239,0.0,0.3557,0.9511,0.951,0.951,0.9509,0.951
