algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
svm,52960,13239,34.0761,21.1574,0.9274,0.928,0.9275,0.9271,0.9275
svm,52960,13239,3.639,5.4547,0.9065,0.9081,0.9067,0.9063,0.9067
svm,52960,13239,0.0,6.1501,0.9065,0.9081,0.9067,0.9063,0.9067
svm,52960,13239,26.0932,21.5309,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,0.0,21.2258,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,0.0,20.5451,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,0.0,20.4065,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,0.0,22.0153,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,0.0,21.572,0.9275,0.928,0.9276,0.9272,0.9276
svm,52960,13239,25.4308,19.6401,0.9277,0.9282,0.9278,0.9274,0.9278
svm,52960,13239,39.5634,31.8213,0.9278,0.9283,0.9279,0.9275,0.9279
